Unnamed: 0,TRACTCE_a,TRACTCE_b,distance,SOURCE,TARGET,FOREIGN75K_2010_a,FOREIGN75K_2010_b,FOREIGN75K_2010_delta,WEIGHT
103967,010402,028000,9728.253745220263,53033010402,53033028000,3.0983385720700496,1.0654885654885655,2.032850006581484,2.802390380445362
108731,011500,028000,8030.796662018803,53033011500,53033028000,0.8911368015414258,1.0654885654885655,0.1743517639471397,0.9599962537543059
109128,011800,028000,7852.031287515088,53033011800,53033028000,0.4868421052631579,1.0654885654885655,0.5786464602254076,1.3059849429543755
126199,026002,028000,7560.104340009292,53033026002,53033028000,0.965097831835008,1.0654885654885655,0.10039073365355755,0.8463620942891308
126596,027000,028000,3391.584482770128,53033027000,53033028000,0.5935754189944134,1.0654885654885655,0.47191314649415217,0.7638802801217497
126993,027600,028000,2811.496694312275,53033027600,53033028000,1.2070566388115136,1.0654885654885655,0.14156807332294807,0.4085609354218807
132154,011402,028000,6716.6854620607155,53033011402,53033028000,0.0,1.0654885654885655,1.0654885654885655,1.6306082551457806
138109,027200,028000,3981.939183542162,53033027200,53033028000,1.25,1.0654885654885655,0.18451143451143448,0.5642542094145072
138903,026400,028000,4922.669020246833,53033026400,53033028000,0.6313316693583908,1.0654885654885655,0.4341568961301747,0.8830081085418404
142079,010401,028000,9853.860381018889,53033010401,53033028000,3.1000885739592565,1.0654885654885655,2.034600008470691,2.8165260457255106
142476,011600,028000,8419.216279988797,53033011600,53033028000,2.5697969543147208,1.0654885654885655,1.5043083888261553,2.1957991779424195
143667,011700,028000,6712.985949202163,53033011700,53033028000,0.9689922480620154,1.0654885654885655,0.09649631742655007,0.7581452806041112
147637,010701,028000,9038.167079002176,53033010701,53033028000,0.0,1.0654885654885655,1.0654885654885655,1.8627564168399267
153592,011001,028000,8470.707808143705,53033011001,53033028000,0.4098360655737705,1.0654885654885655,0.655652499914795,1.4371580307376859
1939,000900,024200,8576.890135267355,53033000900,53033024200,0.9382716049382716,4.98812351543943,4.049851910501158,4.502555732977778
2336,002400,024200,6968.444834749031,53033002400,53033024200,3.0779993004547044,4.98812351543943,1.9101242149847253,2.415956276961156
2733,004400,024200,6827.6708512608275,53033004400,53033024200,1.0959762016596213,4.98812351543943,3.8921473137798084,4.18569966752791
3130,005000,024200,8270.805300323778,53033005000,53033024200,1.808485972640853,4.98812351543943,3.1796375427985764,3.6887543185510965
3924,006800,024200,8782.217446302053,53033006800,53033024200,2.1116138763197587,4.98812351543943,2.876509639119671,3.467080419837909
4321,007900,024200,5520.041412030775,53033007900,53033024200,2.0612367420452267,4.98812351543943,2.926886773394203,3.1862022372578602
4718,009000,024200,6502.242361759314,53033009000,53033024200,0.5156854318865491,4.98812351543943,4.4724380835528805,4.675418511373524
5115,009100,024200,7278.879739703393,53033009100,53033024200,1.5955153083225526,4.98812351543943,3.392608207116877,3.781235360375528
6703,022604,024200,6875.43823733849,53033022604,53033024200,3.833090732654052,4.98812351543943,1.1550327827853777,1.7270733282406887
7100,023201,024200,7840.371289809789,53033023201,53033024200,10.53346924906558,4.98812351543943,5.545345733626151,5.774848289244515
7497,023803,024200,3497.201339907111,53033023803,53033024200,21.210741920801095,4.98812351543943,16.222618405361665,14.95007669881621
15834,007600,024200,5256.692175311947,53033007600,53033024200,1.080931263858093,4.98812351543943,3.9071922515813364,4.042142243954397
16231,008200,024200,7379.435885660354,53033008200,53033024200,2.707454289732771,4.98812351543943,2.2806692257066588,2.7905458917020285
16628,008900,024200,5256.523688261859,53033008900,53033024200,1.750753012048193,4.98812351543943,3.2373705033912366,3.4392858218782987
17025,010002,024200,8187.789065074345,53033010002,53033024200,3.2090608777725342,4.98812351543943,1.7790626376668954,2.41993528040764
17422,010300,024200,9357.811270759132,53033010300,53033024200,1.703323962295353,4.98812351543943,3.284799553144077,3.892100724905582
20201,002100,024200,8196.504650012166,53033002100,53033024200,1.8954623779437103,4.98812351543943,3.0926611374957194,3.6030454887473637
21392,006100,024200,6335.087639152099,53033006100,53033024200,2.1485189820609096,4.98812351543943,2.83960453337852,3.1891528439558776
21789,006900,024200,9570.220374217775,53033006900,53033024200,3.707440100882724,4.98812351543943,1.2806834145567056,2.1096371105228124
22186,022603,024200,8508.595703454877,53033022603,53033024200,6.10110400929692,4.98812351543943,1.1129804938574903,1.852542014817229
22583,022801,024200,6661.380944063159,53033022801,53033024200,11.877224199288257,4.98812351543943,6.889100683848827,6.866328709870261
22980,023202,024200,8627.077321457093,53033023202,53033024200,4.94279176201373,4.98812351543943,0.04533175342569962,0.9035063102288388
26950,023804,024200,3800.55083205177,53033023804,53033024200,11.194272697689554,4.98812351543943,6.206149182250124,5.9655893472302886
28538,022005,024200,9380.150732869544,53033022005,53033024200,3.297644539614561,4.98812351543943,1.6904789758248686,2.459446151529336
28935,004302,024200,5953.373422831915,53033004302,53033024200,0.0,4.98812351543943,4.98812351543943,5.084648506178679
29332,005302,024200,5215.623325039353,53033005302,53033024200,0.16691394658753708,4.98812351543943,4.821209568851892,4.860650944470638
29729,008300,024200,7050.492230430106,53033008300,53033024200,3.5878181059657908,4.98812351543943,1.400305409473639,1.9653240915692853
30126,007100,024200,8919.992758392216,53033007100,53033024200,5.156683855612852,4.98812351543943,0.16856034017342214,1.0437035819953013
